"Article URL","Comment ID 1","Comment ID 2","Comment ID 3","Comment ID 4","Comment ID 5","Comment ID 6","Comment ID 7","Comment ID 8","Comment ID 9","Comment ID 10","Comment Volume"
"http://www.nytimes.com/2015/10/27/upshot/trust-your-eyes-a-hot-streak-is-not-a-myth.html","16482093","16482483","16483313","16484897","16485199","16485954","16486032","16486111","16487331","16487816","39"
"http://www.nytimes.com/2015/10/24/sports/baseball/kansas-city-royals-beat-toronto-blue-jays-alcs.html","16456427","16456437","16456459","16456552","16456584","16456614","16456668","16456707","16456736","16456780","93"
"http://www.nytimes.com/2015/10/28/sports/baseball/mets-match-the-royals-until-crucial-mistakes-let-victory-slip-away.html","16494359","16494704","16494928","16495473","16495687","16495799","16495917","16495953","16495956","16496438","20"
"http://www.nytimes.com/2015/10/29/opinion/why-the-annual-mammogram-matters.html","16495705","16495729","16495763","16495812","16495882","16495898","16495922","16495930","16495934","16495949","498"
"http://www.nytimes.com/2015/10/29/sports/baseball/new-york-mets-kansas-city-royals-world-series-game-1-powell.html","16496266","16496416","16496470","16496656","16496676","16496765","16496770","16496817","16496820","16496859","106"
"http://www.nytimes.com/2015/10/28/theater/review-sylvia-in-which-a-man-loves-a-dog-too-much.html","16493655","16493806","16494342","16494364","16494726","16495033","16495134","16495238","16495248","16495367","73"
"http://www.nytimes.com/2015/10/28/opinion/telling-mideast-negotiators-have-a-nice-life.html","16494327","16494333","16494341","16494344","16494345","16494370","16494379","16494410","16494422","16494436","481"
"http://www.nytimes.com/2015/10/26/opinion/hillary-clinton-wins-again.html","16470692","16470699","16470710","16470716","16470728","16470751","16470761","16470764","16470769","16470779","527"
"http://www.nytimes.com/2015/10/30/us/politics/paul-ryan-set-to-take-over-as-speaker-hoping-to-manage-the-chaos.html","16507574","16507654","16507661","16507719","16507744","16507830","16507837","16507925","16507928","16507929","236"
"http://www.nytimes.com/2015/10/24/opinion/happy-birthday-hillary-clinton.html","16455597","16455715","16455716","16455720","16455734","16455740","16455747","16455763","16455784","16455805","555"
"http://www.nytimes.com/2015/10/30/world/asia/china-end-one-child-policy.html","16504731","16504782","16504839","16504841","16504863","16504885","16504919","16504938","16504941","16504962","620"
"http://www.nytimes.com/2015/10/30/upshot/fact-checking-republicans-on-tax-plans.html","16510074","16510154","16510296","16510371","16510397","16510447","16510489","16510510","16510523","16510538","93"
"http://www.nytimes.com/2015/10/25/opinion/sunday/the-empire-strikes-back.html","16460909","16460930","16460953","16461022","16461029","16461036","16461048","16461069","16461130","16461144","679"
"http://www.nytimes.com/2015/10/29/upshot/ben-carson-beating-all-comers.html","16499088","16499092","16499327","16499410","16499527","16499724","16499763","16499794","16499808","16499831","45"
"http://www.nytimes.com/2015/10/28/opinion/a-budget-deal-to-live-by-for-now.html","16489958","16490036","16490074","16490268","16490305","16490401","16490521","16490522","16490663","16490714","352"
"http://www.nytimes.com/2015/10/28/opinion/the-equal-rights-fight-over-houstons-bathrooms.html","16482867","16482897","16482913","16483228","16483319","16483391","16484164","16484185","16484229","16484268","361"
"http://www.nytimes.com/2015/10/28/upshot/why-an-iowa-poll-is-unfair-to-bernie-sanders.html","16487549","16487845","16487940","16488359","16488509","16488546","16488602","16488626","16488759","16488938","58"
"http://www.nytimes.com/2015/11/02/sports/baseball/kansas-city-royals-beat-new-york-mets-world-series-game-5.html","16540833","16540840","16540845","16540848","16540850","16540853","16540856","16540858","16540860","16540861","330"
